Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
1,1,3-hydroxy-3-phenylisoindolin-1-one,0.1,tert-butyldimethyl(3-methylbut-3-en-1-yn-1-yl)silane,0.15,"(1R,3S)-3-((tert-butyldimethylsilyl)ethynyl)-3-methyl-2,3-dihydrospiro[indene-1,1'-isoindolin]-3'-one",,,"1R,3S",,,toluene,,,0.4,,DABCO,0.005,NaBARF,0.01,,,,,,,FALSE,[IrCl(cod)]2,,Ir,1,,,,,,,,,,,,,,20,80,,,,,0.87,,,,,,,,,,20,,,,10.1002_adsc.201701378,10.1002_adsc.201701378,
2,1,3-hydroxy-3-phenylisoindolin-1-one,0.1,dimethyl(3-methylbut-3-en-1-yn-1-yl)(phenyl)silane,0.15,"(1R,3S)-3-((dimethyl(phenyl)silyl)ethynyl)-3-methyl-2,3-dihydrospiro[indene-1,1'-isoindolin]-3'-one",,,"1R,3S",,,toluene,,,0.4,,DABCO,0.005,NaBARF,0.01,,,,,,,FALSE,[IrCl(cod)]2,,Ir,1,,,,,,,,,,,,,,20,80,,,,,0.03,,,,,,,,,,20,,,,10.1002_adsc.201701378,10.1002_adsc.201701378,
3,1,3-hydroxy-3-phenylisoindolin-1-one,0.1,triisopropyl(3-methylbut-3-en-1-yn-1-yl)silane,0.15,"(1R,3S)-3-methyl-3-((triisopropylsilyl)ethynyl)-2,3-dihydrospiro[indene-1,1'-isoindolin]-3'-one",,,"1R,3S",,,toluene,,,0.4,,DABCO,0.005,NaBARF,0.01,,,,,,,FALSE,[IrCl(cod)]2,,Ir,1,,,,,,,,,,,,,,20,80,,,,,0,,,,,,,,,,20,,,,10.1002_adsc.201701378,10.1002_adsc.201701378,
4,1,3-hydroxy-3-phenylisoindolin-1-one,0.1,1-methyl-4-(3-methylbut-3-en-1-yn-1-yl)benzene,0.15,"(1R,3R)-3-methyl-3-(p-tolylethynyl)-2,3-dihydrospiro[indene-1,1'-isoindolin]-3'-one","2-(prop-1-en-2-yl)-3-(p-tolyl)spiro[indene-1,1'-isoindolin]-3'-one",,"1R,3R",,,toluene,,,0.4,,DABCO,0.005,NaBARF,0.01,,,,,,,FALSE,[IrCl(cod)]2,,Ir,1,,,,,,,,,,,,,,20,80,,,,,0.03,,0.3,,,,,,,,20,,,,10.1002_adsc.201701378,10.1002_adsc.201701378,
5,1,3-hydroxy-3-phenylisoindolin-1-one,0.1,2-methylbut-1-en-3-yne,0.15,"(1R,3R)-3-ethynyl-3-methyl-2,3-dihydrospiro[indene-1,1'-isoindolin]-3'-one",,,"1R,3R",,,toluene,,,0.4,,DABCO,0.005,NaBARF,0.01,,,,,,,FALSE,[IrCl(cod)]2,,Ir,1,,,,,,,,,,,,,,20,80,,,,,0,,,,,,,,,,20,,,,10.1002_adsc.201701378,10.1002_adsc.201701378,
6,1,3-hydroxy-3-phenylisoindolin-1-one,0.1,tert-butyldimethyl(3-methylbut-3-en-1-yn-1-yl)silane,0.15,"(1R,3S)-3-((tert-butyldimethylsilyl)ethynyl)-3-methyl-2,3-dihydrospiro[indene-1,1'-isoindolin]-3'-one",,,"1R,3S",,,toluene,,,0.4,,DABCO,0.005,NaBARF,0.01,,,,,,,FALSE,[IrCl(cod)]2,,Ir,1,,,,,,,,,,,,,,20,80,,,,,0,,,,,,,,,,20,,,,10.1002_adsc.201701378,10.1002_adsc.201701378,
7,1,3-hydroxy-3-phenylisoindolin-1-one,0.1,tert-butyldimethyl(3-methylbut-3-en-1-yn-1-yl)silane,0.15,"(1R,3S)-3-((tert-butyldimethylsilyl)ethynyl)-3-methyl-2,3-dihydrospiro[indene-1,1'-isoindolin]-3'-one",,,"1R,3S",,,toluene,,,0.4,,DABCO,0.005,NaBARF,0.01,,,,,,,FALSE,"[IrCl((S,S)-L1)]2",,Ir,1,,2,"π,π,Cl,Ir",,,,,,,,,,,48,80,,,,,0.92,0.995,,,,,,,,,20,,,,10.1002_adsc.201701378,10.1002_adsc.201701378,
8,1,3-hydroxy-3-phenylisoindolin-1-one,0.1,tert-butyldimethyl(3-methylbut-3-en-1-yn-1-yl)silane,0.15,"(1R,3S)-3-((tert-butyldimethylsilyl)ethynyl)-3-methyl-2,3-dihydrospiro[indene-1,1'-isoindolin]-3'-one",,,"1R,3S",,,toluene,,,0.4,,DABCO,0.005,NaBARF,0.01,,,,,,,FALSE,"[IrCl((S,S)-L2)]2",,Ir,1,,2,"π,π,Cl,Ir",,,,,,,,,,,20,80,,,,,0.12,0.58,,,,,,,,,20,,,,10.1002_adsc.201701378,10.1002_adsc.201701378,
9,1,3-hydroxy-3-phenylisoindolin-1-one,0.1,tert-butyldimethyl(3-methylbut-3-en-1-yn-1-yl)silane,0.15,"(1R,3S)-3-((tert-butyldimethylsilyl)ethynyl)-3-methyl-2,3-dihydrospiro[indene-1,1'-isoindolin]-3'-one",,,"1R,3S",,,toluene,,,0.4,,DABCO,0.005,NaBARF,0.01,,,,,,,FALSE,[IrCl(coe)2]2-(R)-BINAP,,Ir,1,,2,"π,π,P,P",,,,,,,,,,,20,80,,,,,0,,,,,,,,,,20,,,,10.1002_adsc.201701378,10.1002_adsc.201701378,
10,1,3-hydroxy-3-phenylisoindolin-1-one,0.1,tert-butyldimethyl(3-methylbut-3-en-1-yn-1-yl)silane,0.15,"(1R,3S)-3-((tert-butyldimethylsilyl)ethynyl)-3-methyl-2,3-dihydrospiro[indene-1,1'-isoindolin]-3'-one",,,"1R,3S",,,toluene,,,0.4,,DABCO,0.005,NaBARF,0.01,,,,,,,FALSE,[RhCl(cod)]2,,Rh,1,,,,,,,,,,,,,,20,80,,,,,0,,,,,,,,,,20,,,,10.1002_adsc.201701378,10.1002_adsc.201701378,
