Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
1,1,1-(5-methylpyrimidin-2-yl)-1H-indole,0.05,"1-methyl-1H-pyrrole-2,5-dione",0.1,"(S)-1-methyl-3-(1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)pyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.2,0.05,AgSbF6,0.005,t-BuOK,0.006,,,,,,,TRUE,Cp-Co(CO)I2,4a,Co,2,0,,1,O,,,,,,,,,,20,35,,,,,0.95,,,,,,75:25,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
2,1,1-(5-methylpyrimidin-2-yl)-1H-indole,0.05,"1-methyl-1H-pyrrole-2,5-dione",0.1,"(S)-1-methyl-3-(1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)pyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.2,0.05,AgSbF6,0.005,t-BuOK,0.006,,,,,,,TRUE,Cp-Co(CO)I2,4b,Co,2,0,,1,O,,,,,,,,,,20,35,,,,,0.95,,,,,,61:39,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
3,1,1-(5-methylpyrimidin-2-yl)-1H-indole,0.05,"1-methyl-1H-pyrrole-2,5-dione",0.1,"(S)-1-methyl-3-(1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)pyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.2,0.05,AgSbF6,0.005,t-BuOK,0.006,,,,,,,TRUE,Cp-Co(CO)I2,4c,Co,2,0,,1,O,,,,,,,,,,20,35,,,,,0.95,,,,,,69:31,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
4,1,1-(5-methylpyrimidin-2-yl)-1H-indole,0.05,"1-methyl-1H-pyrrole-2,5-dione",0.1,"(S)-1-methyl-3-(1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)pyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.2,0.05,AgSbF6,0.005,t-BuOK,0.006,,,,,,,TRUE,Cp-Co(CO)I2,4d,Co,2,0,,1,O,,,,,,,,,,20,35,,,,,0.63,,,,,,49:51,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
5,1,1-(5-methylpyrimidin-2-yl)-1H-indole,0.05,"1-methyl-1H-pyrrole-2,5-dione",0.1,"(S)-1-methyl-3-(1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)pyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.2,0.05,AgSbF6,0.005,t-BuOK,0.006,,,,,,,TRUE,Cp-Co(CO)I2,4e,Co,2,0,,1,O,,,,,,,,,,20,35,,,,,0.95,,,,,,54:46,,,,20,,1,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
6,1,1-(5-methylpyrimidin-2-yl)-1H-indole,0.05,"1-methyl-1H-pyrrole-2,5-dione",0.1,"(S)-1-methyl-3-(1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)pyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.2,0.05,AgSbF6,0.005,t-BuOK,0.006,,,,,,,TRUE,Cp-Co(CO)I2,4f,Co,2,0,,1,O,,,,,,,,,,20,35,,,,,0.95,,,,,,64:36,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
7,1,1-(5-methylpyrimidin-2-yl)-1H-indole,0.05,"1-methyl-1H-pyrrole-2,5-dione",0.1,"(S)-1-methyl-3-(1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)pyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.2,0.05,AgSbF6,0.005,t-BuOK,0.006,,,,,,,TRUE,Cp-Co(CO)I2,4g,Co,2,0,,1,O,,,,,,,,,,20,35,,,,,0.77,,,,,,50:50,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
8,1,1-(5-methylpyrimidin-2-yl)-1H-indole,0.05,"1-methyl-1H-pyrrole-2,5-dione",0.1,"(S)-1-methyl-3-(1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)pyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.2,0.05,AgSbF6,0.005,t-BuOK,0.006,,,,,,,TRUE,Cp-Co(CO)I2,4a,Co,2,0,,1,O,,,,,,,,,,20,35,,,,,0.65,,,,,,80:20,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
9,1,1-(5-methylpyrimidin-2-yl)-1H-indole,0.05,"1-methyl-1H-pyrrole-2,5-dione",0.1,"(S)-1-methyl-3-(1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)pyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.2,0.05,,,t-BuOK,0.006,,,,,MS13X,10,TRUE,[Cp-Co(CH3CN)3](SbF6)2,4a,Co,2,0,,1,O,,,,,,,,,,20,35,,,,,0.94,,,,,,81:19,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
10,1,1-(5-methylpyrimidin-2-yl)-1H-indole,0.2,"1-methyl-1H-pyrrole-2,5-dione",0.4,"(S)-1-methyl-3-(1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)pyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.8,0.2,,,t-BuOK,0.024,,,,,MS13X,40,TRUE,[Cp-Co(CH3CN)3](SbF6)2,4a,Co,2,0,,1,O,,,,,,,,,,72,10,,,,,0.86,,,,,,81:19,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
11,1,4-bromo-1-(5-methylpyrimidin-2-yl)-1H-indole,0.2,"1-methyl-1H-pyrrole-2,5-dione",0.4,"(S)-3-(4-bromo-1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)-1-methylpyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.8,0.2,,,t-BuOK,0.024,,,,,MS13X,40,TRUE,[Cp-Co(CH3CN)3](SbF6)2,4a,Co,2,0,,1,O,,,,,,,,,,72,20,,,,,0.94,,,,,,78:22,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
12,1,4-methoxy-1-(5-methylpyrimidin-2-yl)-1H-indole,0.2,"1-methyl-1H-pyrrole-2,5-dione",0.4,"(S)-3-(4-methoxy-1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)-1-methylpyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.8,0.2,,,t-BuOK,0.024,,,,,MS13X,40,TRUE,[Cp-Co(CH3CN)3](SbF6)2,4a,Co,2,0,,1,O,,,,,,,,,,72,10,,,,,0.69,,,,,,82:18,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
13,1,7-methyl-1-(5-methylpyrimidin-2-yl)-1H-indole,0.2,"1-methyl-1H-pyrrole-2,5-dione",0.4,"(S)-1-methyl-3-(7-methyl-1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)pyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.8,0.2,,,t-BuOK,0.024,,,,,MS13X,40,TRUE,[Cp-Co(CH3CN)3](SbF6)2,4a,Co,2,0,,1,O,,,,,,,,,,72,20,,,,,0.89,,,,,,55:45,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
14,1,5-fluoro-1-(5-methylpyrimidin-2-yl)-1H-indole,0.2,"1-methyl-1H-pyrrole-2,5-dione",0.4,"(S)-3-(5-fluoro-1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)-1-methylpyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.8,0.2,,,t-BuOK,0.024,,,,,MS13X,40,TRUE,[Cp-Co(CH3CN)3](SbF6)2,4a,Co,2,0,,1,O,,,,,,,,,,72,10,,,,,0.61,,,,,,80:20,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
15,1,5-bromo-1-(5-methylpyridin-2-yl)-1H-indole,0.2,"1-methyl-1H-pyrrole-2,5-dione",0.4,"(S)-3-(5-bromo-1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)-1-methylpyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.8,0.2,,,t-BuOK,0.024,,,,,MS13X,40,TRUE,[Cp-Co(CH3CN)3](SbF6)2,4a,Co,2,0,,1,O,,,,,,,,,,72,20,,,,,0.9,,,,,,80:20,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
16,1,5-iodo-1-(5-methylpyrimidin-2-yl)-1H-indole,0.2,"1-methyl-1H-pyrrole-2,5-dione",0.4,"(S)-3-(5-iodo-1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)-1-methylpyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.8,0.2,,,t-BuOK,0.024,,,,,MS13X,40,TRUE,[Cp-Co(CH3CN)3](SbF6)2,4a,Co,2,0,,1,O,,,,,,,,,,72,10,,,,,0.88,,,,,,81:19,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
17,1,5-methoxy-1-(5-methylpyrimidin-2-yl)-1H-indole,0.2,"1-methyl-1H-pyrrole-2,5-dione",0.4,"(S)-3-(5-methoxy-1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)-1-methylpyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.8,0.2,,,t-BuOK,0.024,,,,,MS13X,40,TRUE,[Cp-Co(CH3CN)3](SbF6)2,4a,Co,2,0,,1,O,,,,,,,,,,72,20,,,,,0.78,,,,,,79:21,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
18,1,6-bromo-1-(5-methylpyrimidin-2-yl)-1H-indole,0.2,"1-methyl-1H-pyrrole-2,5-dione",0.4,"(S)-3-(6-bromo-1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)-1-methylpyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.8,0.2,,,t-BuOK,0.024,,,,,MS13X,40,TRUE,[Cp-Co(CH3CN)3](SbF6)2,4a,Co,2,0,,1,O,,,,,,,,,,72,20,,,,,0.99,,,,,,80:20,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
19,1,6-methoxy-1-(5-methylpyrimidin-2-yl)-1H-indole,0.2,"1-methyl-1H-pyrrole-2,5-dione",0.4,"(S)-3-(6-methoxy-1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)-1-methylpyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.8,0.2,,,t-BuOK,0.024,,,,,MS13X,40,TRUE,[Cp-Co(CH3CN)3](SbF6)2,4a,Co,2,0,,1,O,,,,,,,,,,72,20,,,,,0.87,,,,,,88:23,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
20,1,1-(5-methylpyrimidin-2-yl)-1H-indole,0.2,"1-ethyl-1H-pyrrole-2,5-dione",0.4,"(S)-1-ethyl-3-(1-(5-methylpyrimidin-2-yl)-1H-indol-2-yl)pyrrolidine-2,5-dione",,,S,,,TFE,DCM,4,0.8,0.2,,,t-BuOK,0.024,,,,,MS13X,40,TRUE,[Cp-Co(CH3CN)3](SbF6)2,4a,Co,2,0,,1,O,,,,,,,,,,72,10,,,,,0.8,,,,,,81:19,,,,20,,2,,10.1002_ajoc.201900565,10.1002_ajoc.201900565,
